"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-02",,,"86","H,,S","95",",,S","78",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-03",,,"84","H,,S","94",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-04",,,"83","H,,S","93",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-05",,,"82","H,,S","92",",,S","75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-06",,,"85","H,,S","92",",,S","75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-07",,,"80","H,,S","83",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-08",,,"85","H,,S","95",",,S","75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-09",,,"83","H,,S","96",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-10",,,"83","H,,S","92",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-11",,,"84","H,,S","94",",,S","77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-12",,,"85","H,,S",,,"77",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-13",,,"78","H,,S",,,"74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-14",,,"84","H,,S","92",",,S","75",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-15",,,"82","H,,S","89",",,S",,
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-16",,,"78","H,,S","90",",,S","76",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-17",,,"82","H,,S","92",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-18",,,"84","H,,S","96",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-19",,,"80","H,,S","90",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-20",,,"83","H,,S",,,"73",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-21",,,"84","H,,S","95",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-22",,,"84","H,,S","95",",,S","74",",,S"
"BMM00048008","MYITKYINA, BM","25.367","97.4","147.0","2010-09-23",,,"86","H,,S","96",",,S","76",",,S"
